frame.number,frame.time_relative,ip.src,ip.dst,ip.proto,frame.len
130,22.174075000,192.168.219.41,17.248.221.64,6,1375
131,22.174414000,192.168.219.41,17.248.221.64,6,457
132,22.174592000,192.168.219.41,17.248.221.64,6,97
133,22.197470000,17.248.221.64,192.168.219.41,6,369
134,22.197474000,17.248.221.64,192.168.219.41,6,369
135,22.197476000,17.248.221.64,192.168.219.41,6,128
136,22.198217000,192.168.219.41,17.248.221.64,6,66
137,22.198457000,192.168.219.41,17.248.221.64,6,97
138,22.218335000,17.248.221.64,192.168.219.41,6,97
139,22.218580000,192.168.219.41,17.248.221.64,6,66
140,22.219988000,17.248.221.64,192.168.219.41,6,66
141,22.285723000,17.248.221.64,192.168.219.41,6,66
142,22.397947000,17.248.221.64,192.168.219.41,6,852
143,22.397952000,17.248.221.64,192.168.219.41,6,97
144,22.398456000,192.168.219.41,17.248.221.64,6,66
145,22.452491000,192.168.219.41,17.248.221.64,6,199
146,22.452782000,192.168.219.41,17.248.221.64,6,1170
147,22.452924000,192.168.219.41,17.248.221.64,6,97
148,22.495662000,17.248.221.64,192.168.219.41,6,66
149,22.495712000,17.248.221.64,192.168.219.41,6,66
150,22.495715000,17.248.221.64,192.168.219.41,6,66
